[2025-12-11 12:17:22:852] P9078_AxisSetMaxPositionLimit[0-2], limit: 8000000000000000.000000, rc: 0
[2025-12-11 12:17:22:873] P9078_AxisSetParameter[0-3] PN: 1204, PV: 1, rc: 0
[2025-12-11 12:17:22:874] P9078_AxisSetRealParameter[0-3] PN: 1206, PV: 1000.000000, rc: 0
[2025-12-11 12:17:22:875] P9078_AxisSetRealParameter[0-3] PN: 1002, PV: 0.000000, rc: 0
[2025-12-11 12:17:22:876] P9078_AxisSetRealParameter[0-3] PN: 1003, PV: 0.000000, rc: 0
[2025-12-11 12:17:22:877] P9078_AxisSetBacklash[0-3], backlash: 0.000000, rc: 0
[2025-12-11 12:17:22:878] P9078_AxisSetMaxVelocity[0-3], vel: 50.000000, rc: 0
[2025-12-11 12:17:22:879] P9078_AxisSetMaxAcceleration[0-3], acc: 120.000000, rc: 0
[2025-12-11 12:17:22:880] P9078_AxisSetParameter[0-3] PN: 1001, PV: 500000, rc: 0
[2025-12-11 12:17:22:881] P9078_AxisSetMinPositionLimit[0-3], limit: -8000000000000000.000000, rc: 0
[2025-12-11 12:17:22:882] P9078_AxisSetMaxPositionLimit[0-3], limit: 8000000000000000.000000, rc: 0
[2025-12-11 12:17:22:906] P9078_AxisSetParameter[0-4] PN: 1204, PV: 1, rc: 0
[2025-12-11 12:17:22:907] P9078_AxisSetRealParameter[0-4] PN: 1206, PV: 1000.000000, rc: 0
[2025-12-11 12:17:22:908] P9078_AxisSetRealParameter[0-4] PN: 1002, PV: 0.000000, rc: 0
[2025-12-11 12:17:22:909] P9078_AxisSetRealParameter[0-4] PN: 1003, PV: 0.000000, rc: 0
[2025-12-11 12:17:22:910] P9078_AxisSetBacklash[0-4], backlash: 0.000000, rc: 0
[2025-12-11 12:17:22:911] P9078_AxisSetMaxVelocity[0-4], vel: 50.000000, rc: 0
[2025-12-11 12:17:22:912] P9078_AxisSetMaxAcceleration[0-4], acc: 100.000000, rc: 0
[2025-12-11 12:17:22:913] P9078_AxisSetParameter[0-4] PN: 1001, PV: 500000, rc: 0
[2025-12-11 12:17:22:914] P9078_AxisSetMinPositionLimit[0-4], limit: -8000000000000000.000000, rc: 0
[2025-12-11 12:17:22:915] P9078_AxisSetMaxPositionLimit[0-4], limit: 8000000000000000.000000, rc: 0
[2025-12-11 12:17:22:937] P9078_AxisSetParameter[0-5] PN: 1204, PV: 1, rc: 0
[2025-12-11 12:17:22:938] P9078_AxisSetRealParameter[0-5] PN: 1206, PV: 2000.000000, rc: 0
[2025-12-11 12:17:22:939] P9078_AxisSetRealParameter[0-5] PN: 1002, PV: 0.000000, rc: 0
[2025-12-11 12:17:22:940] P9078_AxisSetRealParameter[0-5] PN: 1003, PV: 0.000000, rc: 0
[2025-12-11 12:17:22:941] P9078_AxisSetBacklash[0-5], backlash: 0.000000, rc: 0
[2025-12-11 12:17:22:942] P9078_AxisSetMaxVelocity[0-5], vel: 10.000000, rc: 0
[2025-12-11 12:17:22:944] P9078_AxisSetMaxAcceleration[0-5], acc: 100.000000, rc: 0
[2025-12-11 12:17:22:945] P9078_AxisSetParameter[0-5] PN: 1001, PV: 500000, rc: 0
[2025-12-11 12:17:22:946] P9078_AxisSetMinPositionLimit[0-5], limit: -8000000000000000.000000, rc: 0
[2025-12-11 12:17:22:947] P9078_AxisSetMaxPositionLimit[0-5], limit: 8000000000000000.000000, rc: 0
[2025-12-11 12:17:22:968] P9078_AxisSetParameter[1-0] PN: 1204, PV: 1, rc: 0
[2025-12-11 12:17:22:969] P9078_AxisSetRealParameter[1-0] PN: 1206, PV: 500.000000, rc: 0
[2025-12-11 12:17:22:970] P9078_AxisSetRealParameter[1-0] PN: 1002, PV: 0.000000, rc: 0
[2025-12-11 12:17:22:971] P9078_AxisSetRealParameter[1-0] PN: 1003, PV: 0.000000, rc: 0
[2025-12-11 12:17:22:972] P9078_AxisSetBacklash[1-0], backlash: 0.000000, rc: 0
[2025-12-11 12:17:22:973] P9078_AxisSetMaxVelocity[1-0], vel: 20.000000, rc: 0
[2025-12-11 12:17:22:975] P9078_AxisSetMaxAcceleration[1-0], acc: 100.000000, rc: 0
[2025-12-11 12:17:22:976] P9078_AxisSetParameter[1-0] PN: 1001, PV: 500000, rc: 0
[2025-12-11 12:17:22:977] P9078_AxisSetMinPositionLimit[1-0], limit: -8000000000000000.000000, rc: 0
[2025-12-11 12:17:22:978] P9078_AxisSetMaxPositionLimit[1-0], limit: 8000000000000000.000000, rc: 0
[2025-12-11 12:17:23:0] P9078_AxisSetParameter[1-1] PN: 1204, PV: 1, rc: 0
[2025-12-11 12:17:23:1] P9078_AxisSetRealParameter[1-1] PN: 1206, PV: 500.000000, rc: 0
[2025-12-11 12:17:23:2] P9078_AxisSetRealParameter[1-1] PN: 1002, PV: 0.000000, rc: 0
[2025-12-11 12:17:23:3] P9078_AxisSetRealParameter[1-1] PN: 1003, PV: 0.000000, rc: 0
[2025-12-11 12:17:23:4] P9078_AxisSetBacklash[1-1], backlash: 0.000000, rc: 0
[2025-12-11 12:17:23:5] P9078_AxisSetMaxVelocity[1-1], vel: 20.000000, rc: 0
[2025-12-11 12:17:23:6] P9078_AxisSetMaxAcceleration[1-1], acc: 100.000000, rc: 0
